activity_code,activity_name,activity_description,activity_originator
326,Supportive Service: Needs-Related Payments (Training),"P   A n unemployed Adult or Dislocated Worker participant received a needs-related  payment(s) for the purpose of enabling him/her to participate in training services. In  order to qualify for needs-related payments, the participant must also be unemployed,  not qualified or ceased to qualify for unemployment compensation, and be enrolled in a  training services under WIOA.  lease note: The maximum level of needs-related payments must be established by the  Local WDB.",System
327,Supportive Service: Training Allowance,"T he participant received an approved training allowance required in conjunction with  his/her original training or education. The training allowance may be utilized to pay for  training-related applications, tests, and certifications. For example, a participant with a  nursing degree received a training allowance for CPR training.",System
328,"Occupational Skills Training (non ETPL provider, non-formula)",T   A  participant attended training designed to provide the technical skills necessary to  perform a specific job or group of jobs. The training provider was not on the CA ETPL.  his code cannot used for formula ITAs.,System
330,Local Board Determination Training,"A  participant enrolled in a training program that can bypass the CA ETPL upon the  determination of the Local Workforce Development Board (LWDB) for reasons, such as  higher education, lack of providers, barriers to employment, etc. This activity code  requires staff to provide justification in CalJOBS under case notes.",System
331,Approved Travel in Training (TAA),"Aparticipant was provided an approved travel allowance due to his/her TAA training  being outside a normal commute area. The definition of a normal commute is 25 miles or  one hour, each way.  This activity code is only available to the TAA program.",System
332,Approved Subsistence in Training (TAA),A  participant was provided a subsistence allowance while in training because he/she  must live away from home to attend TAA-approved training.  This activity code is only available to the TAA program.,System
333,Approved Remedial Training for those with GED/HS Diploma (TAA),A  participant was provided prevocational training in elementary skills that are required of  every worker in order to be employed.  This activity code is only available to the TAA program.,System
335,Approved Occupational Skills Training – Approved by other State (TAA),"T   A   L he participant is an Agent/Liable client in TAA-approved training.   gent State: the State in which the participant will be attending training pays for the  training.  iable State: where the petition is certified and weekly UI/TRA benefits are paid. That is,  an out-of-state (non-California) TAA client can attend occupational training in California,  and his/her training is paid by California's TAA program.  This activity code is only available to the TAA program.",System
339,Approved GED Training (TAA),Aparticipant obtained a certificate of High School equivalency prior to entering  vocational/occupational training.  This activity code is only available to the TAA program.,System
341,Approved Remedial Training for those with GED/HS Diploma –,"A Approved by other State (TAA)  gent State – the state in which the participant will be attending training pays for the  training. Liable State – where the petition is certified and weekly UI/TRA benefits are  paid. That is when an out-of-state (non-California) TAA client can attend remedial  training in California, with his/her training being paid by California's TAA program.  This activity code is only available to the TAA program.",System
342,Approved Prerequisite Training (TAA),A  participant completed prerequisite coursework required by the training institution  before entry into one of the institution's approved training programs.  This activity code is only available to the TAA program.,System
346,Out-of-State Training Provider other ETPL (Requires Case Note to,"A indicate other State’s ETPL)   participant was enrolled with a provider headquartered outside of California, and who  does not have an in-state training facility. Provider must be listed on another state’s  ETPL. This activity code requires staff to provide justification in CalJOBS under case notes.",System
347,Occupational Skills Training (Approved ETPL Provider) (TAA),The participant enrolled in a California (CA) Eligible Training Provider List (ETPL) training  program designed to provide the technical skills necessary to perform a specific job or  group of jobs.  This activity code is only available to the TAA program. Participants must receive activity  code 205 (Development of an IEP) prior to receiving any TAA training activity codes.,System
348,On-the-Job Training (TAA),"A  participant took part in paid training while engaged in productive work in a job. The  training (a) provided knowledge or skills essential to the full and adequate performance  of the job; and (b) provided reimbursement to the employer for up to  50% of the  participant's wage rate for extraordinary costs of providing the training and additional  supervision related to the training; and (c) was limited in duration appropriate to the  occupation for which the participant was being trained, taking into account the training's  content, the participant's prior work experience, and service strategy, as appropriate.  This activity code is only available to the TAA program. Participants must receive activity  code 205 (Development of an IEP) prior to receiving any TAA training activity codes.",System
349,Customized Training (TAA),"A   Cparticipant enrolled in an employer's customized training program. The training was  designed to meet the specific requirements of an employer (or a group of employers);  was conducted with a commitment by the employer to employ the participant upon  successful completion of the training; and for which the employer paid a significant  portion of the cost of training, as determined by the Local Board in accordance with  WIOA.   ustomized training may be provided when the following criteria are met:   The participant is not earning a self-sufficient wage as determined by Local  1.  Board policy.   The above paragraph's requirements are met.  2.  The customized training relates to on-the-job training contracts for employed  3.  workers, or other appropriate purposes identified by the Local Board.  This activity code is only available to the TAA program. Participants must receive activity  code 205 (Development of an IEP) prior to receiving any TAA training activity codes.",System
350,Pre-Apprenticeship Program w/Occupational Skills Training (ITA),"I   T (TAA)  he participant enrolled in a Pre-Apprenticeship (PA) program that has a documented  partnership with at least one Registered Apprenticeship program. The PA's training and  curriculum must be based on industry standards, approved by the documented  Registered Apprenticeship partner(s), and prepare the individual with the skills and  competencies needed to enter one or more Registered Apprenticeship program(s).   In addition, the pre-apprenticeship program provides occupational skills training that  leads to an industry-recognized certificate, credential, or license upon completion.  f the pre-apprenticeship training does not provide occupational skills training that leads  to an industry-recognized certificate, credential, or license, the Pre-Apprenticeship  Training (224) activity code should be utilized.  This activity code is only available to the TAA program. Participants must receive activity  code 205 (Development of an IEP) prior to receiving any TAA training activity codes.",System
351,Adult Education with Training Services (TAA),"TA  participant, in consultation with an employment counselor, enrolled in Adult Education  that incorporates an Occupational Skills Training program selected from the CA ETPL that  confers industry-valued skills in priority industry sectors, and is paid for with a pre- approved Individual Training Account.   he participant must also be enrolled in one of the following activities: 300, 301, 302,  305, 306, 320, 323, 325, 330, 346, or 416.  This activity code is only available to the TAA program. Participants must receive activity  code 205 (Development of an IEP) prior to receiving any TAA training activity codes.",System
352,Apprenticeship Training (TAA),A  participant enrolled into a Registered Apprenticeship Program listed on the CA ETPL.  This activity code is only available to the TAA program. Participants must receive activity  code 205 (Development of an IEP) prior to receiving any TAA training activity codes.,System
354,"Occupational Skills Training (non-ETPL provider, non-formula) (TAA)",A   Tparticipant attended training designed to provide the technical skills necessary to  perform a specific job or group of jobs. The training provider was not on the CA ETPL.  his code cannot used for formula ITAs.  This activity code is only available to the TAA program. Participants must receive activity  code 205 (Development of an IEP) prior to receiving any TAA training activity codes.,System
400,Youth Summer Employment,A  Youth participant participated in a summer worksite learning experience which  provided direct linkages between academic and occupational learning.,System
406,"Tutoring, Study Skills Training & Instruction","A  Youth participant received tutoring, study skills training, instruction, and evidence- based dropout prevention and recovery strategies to complete secondary school diploma  requirements; or its recognized equivalent (including a recognized certificate of  attendance or similar document with individuals with disabilities); or for a recognized  post-secondary credential.",System
407,Financial Literacy Education,"A  Youth participant completed Financial Literacy coursework that Include one or more of  the following:  Support the ability of participants to create budgets, initiate checking and savings  1.  accounts at banks, and make informed financial decisions;  Support participants in learning how to effectively manage spending, credit, and  2.  debt, including student loans, consumer credit, and credit cards;  Teach participants about the significance of credit reports and credit scores; what  3.  their rights are regarding their credit and financial information; how to  determine the accuracy of a credit report and how to correct inaccuracies; and  how to improve or maintain good credit;  Support a participant’s ability to understand, evaluate, and compare financial  4.  products, services, and opportunities and to make informed financial decisions;  Educate participants about identity theft, ways to protect themselves from  5.  identify theft, and how to resolve cases of identity theft and in other ways  understand their rights and protections related to personal identity and financial  data;  Support activities that address the particular financial literacy needs of non- 6.  English speakers, including providing the support through the development and  distribution of multilingual financial literacy and education materials;  Support activities that address the particular financial literacy needs of youth  7.  with disabilities, including connecting them to benefits planning and work  incentives counseling;  Provide financial education that is age appropriate, timely, and provides  8.  opportunities to put lessons into practice, such as by access to safe and  affordable financial products that enable money management and savings; or  Implement other approaches to help participants gain the knowledge, skills, and  9.  confidence to make informed financial decisions that enable them to attain  greater financial health and stability by using high quality, age-appropriate, and  relevant strategies and channels, including, where possible, timely and  customized information, guidance, tools, and instruction.",System
408,Youth Internship (Unpaid),"A  Youth participated in an unpaid internship in the private, for-profit, nonprofit, or public  sector.",System
409,Youth Job Shadowing,"A  Youth participated in a job-shadowing experience in the private, for-profit, nonprofit,  or public sector. Job shadowing is a work experience option that is a temporary, unpaid  exposure to the workplace in an occupational area of interest to the participant. Youth  witness firsthand the work environment, employability and occupational skills in practice,  the value of professional training, and potential career options. A job-shadowing  experience can be anywhere from a few hours, to a day, to a week or more.",System
410,Leadership Development Services,"A  Youth participated in leadership development opportunities that encourages  leadership development, responsibility, confidence, employability, self-determination,  and other positive social behaviors. Activities may include:   Exposure to postsecondary educational possibilities;  1.  Community and service learning projects;  2.  Peer-centered activities, including peer mentoring and tutoring;  3.  4.  Organizational and team work training, including team leadership training;   Training in decision-making, including determining priorities and problem solving;   5.  Citizenship training, including life skills training such as parenting and work  6.  behavior training;  Civic engagement activities which promote the quality of life in a community; or  7.  8.  Other leadership activities that place youth in a leadership role such as serving on  youth leadership committees, such as a Standing Youth Committee.",System
411,Adult Mentoring,"L   Y outh participant participated in an adult mentoring activity. Adult mentoring must last  at least 12 months, and be a formal relationship between a youth participant and an  adult mentor that includes structured activities where the mentor offers guidance,  support, and encouragement to develop the competence and character of the mentee.  Mentoring may include workplace mentoring where the local program matches a youth  participant with an employer or employee of a company. Group mentoring activities and  mentoring through electronic means are allowable as part of the mentoring activities,  but at a minimum, the local youth program must match the youth with an individual  mentor with whom the youth interacts on a face-to-face basis.   ocal programs should ensure appropriate processes are in place to adequately screen  and select mentors. While DOL strongly prefers that case managers not serve as mentors,  case managers are allowed to serve as mentors in areas where adult mentors are sparse.",System
412,Objective Assessment,"AJCC staff conducted an objective assessment of the Youth participant's academic levels, skill levels, and service needs, which included an assessment of basic skills, occupational  skills, prior work experience, employability, interests, aptitudes (including interests and  aptitudes for nontraditional jobs), supportive service needs, and developmental needs  for the purpose of identifying appropriate services and career pathways. Assessments  must also consider a youth’s strengths rather than just focusing on areas that need  improvement.",System
413,Develop Service Strategies (IEP/ISS/EDP),"A JCC staff developed individual strategies for the Youth participant that are directly  linked to one or more performance indicator, and that identified career pathways that  included education and employment goals, including, when appropriate, nontraditional  employment, appropriate achievement objectives, and appropriate services that took  into account the Youth's Objective Assessment.",System
414,Basic Skills Training,"A  Youth participant, whose English, writing, and/or computing skill level was at or below  the eighth grade level, received basic skills training that included reading, writing,  mathematic, problem solving, and interpersonal skills training that enabled the Youth to  communicate in English, use math, or obtain a high school diploma or GED (if applicable),  to become eligible for post-secondary education or training, and to develop into a  productive, employable citizen.  Youth must receive 412 and 413 prior to enrolling in this activity.",System
415,Enrolled in Alternative Secondary Education,"A  Youth participant was enrolled, during participation, in an Alternative Education  program, i.e., a separate program within a K - 12 public or charter school that was  established to serve and provide a Youth, whose needs are not being met in a traditional  school setting, an educational alternative.  Youth must receive 412 and 413 prior to enrolling in this activity.",System
416,Occupational Skills Training (Approved ETPL Provider),"A n Out-of-School Youth participant aged 16-to-24, was enrolled in occupational skills  training that provides specific vocational skills that lead to proficiency in performing  actual tasks and technical functions required by certain occupational fields, and that  aligned with an in-demand industry sector(s) or occupations in the Youth's local area. The  training must be outcome-oriented and focused on an occupational goal specified in the  individual service strategy, be of sufficient duration to impart the skills needed to meet  the occupational goal; and lead to the attainment of a recognized postsecondary  credential. Provider must be on the CA ETPL.  This activity code should not be used for In-School Youth. Youth must receive 412 and  413 prior to enrolling in this activity.",System
417,Comprehensive Guidance and Counseling,"A  Youth participant was provided one or more of the following:  Activities leading to secondary school diploma attainment, or its equivalent;  1.  preparation for post-secondary and training opportunities;  Strong linkages between academic instruction and occupational education that  2.  lead to the attainment of recognized post-secondary credentials;  Preparation for unsubsidized employment opportunities;  3.  Effective connections to employers, including small employers, on in-demand  4.  industry sectors and occupations within the Youth's local and regional labor  markets; or  5.  Drug and alcohol abuse counseling, mental health counseling, and referral to  partner programs as appropriate. If referring a Youth to necessary counseling  that cannot be provided by the local Youth program or its service providers, the  local youth program must coordinate with the organization it refers to in order to  ensure continuity of service.    *Youth must receive 412 and 413 prior to enrolling in this activity.",System
418,Adult Education (GED),"A  Youth participant (not enrolled prior to participation) enrolled in a high school diploma  equivalency program to qualify for one of the three U.S. Department of Education, Office  of Post-Secondary Education's recognized high school equivalency certificate programs:  1) General Educational Development (GED) Test provided by the GED Testing Service; 2)  the High School Equivalency Test (HiSET), provided by Educational Testing Services; or 3)  the Test Assessing Secondary Completion (TASC) provided by CRB/McGraw-Hill.  Youth must receive 412 and 413 prior to enrolling in this activity.",System
419,Incentive Payment,"SA t the discretion of the Local Board, a Youth participant received an incentive payment  based on an incentive contract between a Youth and the Local Board in recognition of the  Youth’s achievement directly tied to training activities, education and/or work  experiences. The local program must have written policies and procedures in place  governing the award of incentives and must ensure that such incentive payments are tied  to the goals of the specific program; outlined in writing before the commencement of the  program that my provide incentive payments’ aligned with the local program’s policies;  and are in accordance with the requirements contained in 2 CFR part 200.  uch an incentive differs from a supportive service, as a supportive service may only be  made when deemed necessary for a Youth to participate in program activities.  Youth must receive 412 and 413 prior to enrolling in this activity.",System
421,Enrolled in Post-Secondary Education,"A  Youth participant possessing a high school or a GED diploma enrolled in a post- secondary program that provided the skills, education and/or training for an in-demand  occupation or industry, and grants recognized credentials or degrees.  Youth must receive 412 and 413 prior to enrolling in this activity.",System
424,Entrepreneurial Skills Training,"AYouth enrolled in Entrepreneurial training that included the planning, starting and  operating of a small business. Training includes, but is not limited to, the entrepreneurial- associated skills of initiative, self-direction, calculated risk taking, adaptability, seeking  out and identifying business opportunities and innovative solutions; risk assessment,  budget development; resource forecasting; the ability to analyze capital acquisition  options and their corresponding trade-offs; and how to effectively market oneself and  one's ideas.  Youth must receive 412 and 413 prior to enrolling in this activity.",System
425,Work Experience (Paid),"A   TYouth participant took part in a paid, planned, structured learning experience that took  place in a private, for-profit, nonprofit or public sector workplace for a limited period of  time. The experience included such elements as: employability skills instruction or  generic workplace skills; exposure to various aspects of an industry; progressively more  complex tasks; the integration of basic academic skills into work activities, work  adjustment, and other transition activities; entrepreneurship; and service learning.  his definition does not include: Unpaid Youth Internship (408), Youth Job Shadowing  (409), Unpaid Work Experience (426), Paid Internship (427), or On-the-Job Training (428).  Youth must receive 412 and 413 prior to enrolling in this activity.",System
426,Work Experience (Unpaid),"A   TYouth participant took part in an unpaid, planned, structured learning experience that  took place in a private, for-profit, nonprofit or public sector workplace for a limited  period of time. The experience included such elements as employability skills instruction  or generic workplace skills; exposure to various aspects of an industry; progressively  more complex tasks; the integration of basic academic skills into work activities, work  adjustment, and other transition activities; entrepreneurship; and service learning.  his definition does not include: Unpaid Youth Internship (408), Youth Job Shadowing  (409), Paid Work Experience (425), Paid Internship (427), or On-the-Job Training (428).  Youth must receive 412 and 413 prior to enrolling in this activity.",System
427,Internship (Paid),"A  Youth participant took part in a paid internship in the private, for-profit, nonprofit, or  public sector workplace for a limited time period.  Youth must receive 412 and 413 prior to enrolling in this activity.",System
428,Youth On-the-Job Training,"A  Youth participant took part in an on-the-job training experience in the private, for- profit, nonprofit, or public sector workplace for a limited time period.  Youth must receive 412 and 413 prior to enrolling in this activity.",System
429,Enrolled in Secondary Education Program,"A   TYouth participant enrolled in a secondary education (high school) program during  program participation.  his definition does not apply to Enrolled in Alternative Secondary Education (415), or  Adult Education (418).  Youth must receive 412 and 413 prior to enrolling in this activity.",System
430,Youth Occupational Skills Training (Youth Service Eligible Provider List),"A  Youth participant attended training designed to provide jobs specific vocational skills  that lead to proficiency in performing actual tasks and technical functions required by  certain occupational field and aligns with in-demand industry sectors or occupational in  the Local Area. The training must be outcome-oriented and focused on an occupational  goal specified in the individual service strategy, be of sufficient duration to impart the  skills needed to meet the occupational goal; and lead to the attainment of a recognized  postsecondary credential. The training provider must be on the Youth Service Eligible  Provider List.  Youth must receive 412 and 413 prior to enrolling in this activity.",System
431,Enrolled in Pre-Apprenticeship Training,"A  Youth participant enrolled in a program or participated in a set of strategies designed  to prepare Youth to enter and succeed in a registered apprenticeship program that has a  documented partnership with at least one, if not more, registered apprenticeship  program(s).  Youth must receive 412 and 413 prior to enrolling in this activity.",System
432,Enrolled in Apprenticeship Training,"AYouth participant enrolled in a Registered Apprenticeship program. Apprenticeship  programs can be sponsored by individual employers, joint employer and labor groups,  and/or employer associations.   Youth must receive 412 and 413 prior to enrolling in this activity.",System
433,Career Awareness,"A  Youth participant engaged in activities designed to developed knowledge of the variety  of careers and occupational available their skill requirements, working conditions and  training prerequisites, and job opportunities across a wide range of industry sectors.  Youth must receive 412 and 413 prior to enrolling in this activity.",System
434,Career Exploration,"AYouth participant selected an educational path and training, or a job which fits their  interests, skills and abilities.  Youth must receive 412 and 413 prior to enrolling in this activity.",System
435,Career Counseling/Planning,"A  Youth participant received advice and support in making decisions about what career  paths to take. Career counseling services may include providing information about  résumé preparation, interview skills, potential opportunities for job shadowing, and the  long-term benefits of postsecondary education and training (e.g., increased earning  power and career mobility).  Youth must receive 412 and 413 prior to enrolling in this activity.",System
436,Post-Secondary Transition Services,"A  Youth participant received services that helped him/her to prepare for and transition to  post-secondary education and training. These services include exploring postsecondary  education options including technical training schools, community colleges, 4-year  colleges and universities, and registered apprenticeship. Additional services include, but  are not limited to, assisting youth to prepare for SAT/ACT testing; assisting with college  admission applications; searching and applying for scholarships and grants; filling out the  proper Financial Aid applications and adhering to changing guidelines; and connecting  youth to postsecondary education programs.  Youth must receive 412 and 413 prior to enrolling in this activity.",System
437,Pre-Apprenticeship Program with Occupational Skills Training (ITA),"I   T he participant enrolled in a Pre-Apprenticeship (PA) program that has a documented  partnership with at least one Registered Apprenticeship program. The PA's training and  curriculum must be based on industry standards, approved by the documented  Registered Apprenticeship partner(s), and prepare the individual with the skills and  competencies needed to enter one or more Registered Apprenticeship program(s).   In addition, the pre-apprenticeship program provides occupational skills training that  leads to an industry-recognized certificate, credential, or license upon completion.  f the pre-apprenticeship training does not provide occupational skills training that leads  to an industry-recognized certificate, credential, or license, the Pre-Apprenticeship  Training (431) activity code should be utilized.  Youth must receive 412 and 413 prior to enrolling in this activity.",System
438,Occupational Skills Training (non-WIOA Funds),"TA  participant attended training designed to provide the technical skills necessary to  perform a specific job or group of jobs. The training was funded through non-WIOA  funds, and the provider was not on the CA ETPL or the Youth Service Eligible Provider List.  his code cannot used for formula ITAs.  Youth must receive 412 and 413 prior to enrolling in this activity.",System
439,Education Offered Concurrently w/Workforce Prep and Training,"Participant enrolled in an integrated education and training model that teaches  workforce preparation activities, basic academic skills, and hands-on occupational skills  training within the same time frame and connected to training in a specific occupation,  occupational cluster, or career pathway. While programs developing basic academic  skills, which are included as part of alternative secondary school services and dropout  recovery services, workforce preparation activities that occur as part of a work  experience, and occupational skills training can all occur separately and at different  times, this program activity code refers to the concurrent delivery of these services which  make up an integrated education and training model.  Youth must receive 412 and 413 prior to enrolling in this activity.",System
480,Supportive Service: Child/Dependent Care,"AYouth participant received assistance with child care or dependent care which enabled  him/her to participate in activities authorized under WIOA Title IB.  This service must be provided in conjunction with another youth career service or  training service. Service dates for the supportive service must be within the dates of the  youth career service or training activity. Additionally, youth must receive 412 and 413  prior to enrolling in this activity.",System
481,Supportive Service: Transportation Assistance,"AYouth participant received assistance with transportation which enabled him/her to  participate in activities authorized under WIOA Title IB.  This service must be provided in conjunction with another youth career service or  training service. Service dates for the supportive service must be within the dates of the  youth career service or training activity. Additionally, youth must receive 412 and 413  prior to enrolling in this activity.",System
482,Supportive Service: Medical,"AYouth participant was referred to medical services which enabled him/her to  participate in activities authorized under WIOA Title IB.  This service must be provided in conjunction with another youth career service or  training service. Service dates for the supportive service must be within the dates of the  youth career service or training activity. Additionally, youth must receive 412 and 413  prior to enrolling in this activity.",System
483,Supportive Service: Temporary Shelter,"A  Youth participant received assistance with temporary shelter that enabled him/her to  participate in activities authorized under WIOA Title IB.  This service must be provided in conjunction with another youth career service or  training service. Service dates for the supportive service must be within the dates of the  youth career service or training activity. Additionally, youth must receive 412 and 413  prior to enrolling in this activity.",System
485,Supportive Service: Other,"A   TYouth participant received assistance that was necessary to enable him/her to  participate in activities authorized under WIOA Title IB. This activity code should only be  used if no other Supportive Service codes apply.  his activity code requires staff to document the type of service provided in a case note.  This service must be provided in conjunction with another youth career service or  training service. Service dates for the supportive service must be within the dates of the  youth career service or training activity. Additionally, youth must receive 412 and 413  prior to enrolling in this activity.",System
487,Supportive Service: Tools/Clothing,"A  Youth participant received assistance with employment-related attire or tools for the  purpose of obtaining employment.  This service must be provided in conjunction with another youth career service or  training service. Service dates for the supportive service must be within the dates of the  youth career service or training activity. Additionally, youth must receive 412 and 413  prior to enrolling in this activity.",System
488,Supportive Service: Housing Assistance,"AJCC staff provided and/or arranged for a Youth participant to receive housing assistance  that was necessary to enable him/her to participant in activities authorized under WIOA  Title IB.  This service must be provided in conjunction with another youth career service or  training service. Service dates for the supportive service must be within the dates of the  youth career service or training activity. Additionally, youth must receive 412 and 413  prior to enrolling in this activity.",System
489,Supportive Service: Utilities,"AJCC staff provided and/or arranged for a Youth participant to receive assistance with  his/her utilities that enabled him/her to participant in activities authorized under WIOA  Title IB.   This service must be provided in conjunction with another youth career service or  training service. Service dates for the supportive service must be within the dates of the  youth career service or training activity. Additionally, youth must receive 412 and 413  prior to enrolling in this activity.",System
490,Supportive Service: Educational Testing,"AYouth participant received supportive services to take a high school equivalency test, or  an exam for an occupation certification or credential. Supportive services can also be  provided to a Youth participant with disabilities to assist with participation in certain  assessments to ensure equal access and opportunity to participate in a variety of work- based learning activities.  This service must be provided in conjunction with another youth career service or  training service. Service dates for the supportive service must be within the dates of the  youth career service or training activity. Additionally, youth must receive 412 and 413  prior to enrolling in this activity.",System
491,Supportive Service: Needs-Related Payments,"A n unemployed Youth participant received a needs-related payment(s) for the purpose  of enabling him/her to participate in training. Unlike other supportive services, in order  to qualify for needs-related payments, a participant must be enrolled in training. The  participant must be unemployed, not qualified or ceased to qualify for unemployment  compensation, and be enrolled in a training services under WIOA.  This service must be provided in conjunction with another youth career service or  training service. Service dates for the supportive service must be within the dates of the  youth career service or training activity. Additionally, youth must receive 412 and 413  prior to enrolling in this activity.",System
492,Supportive Service: Linkages to Community Services,"A  Youth participant received assistance with linkages to community services that enabled  him/her to participate in activities authorized under WIOA Title IB.   This service must be provided in conjunction with another youth career service or  training service. Service dates for the supportive service must be within the dates of the  youth career service or training activity. Additionally, youth must receive 412 and 413  prior to enrolling in this activity.",System
493,Supportive Service: Post-Secondary Educational Materials,"A  Youth participant received assistance with books, fees, school supplies, and other  necessary supplies for students enrolled in post-secondary education classes that  enabled him/her to participate in activities authorized under Title IB.  This service must be provided in conjunction with another youth career service or  training service. Service dates for the supportive service must be within the dates of the  youth career service or training activity. Additionally, youth must receive 412 and 413  prior to enrolling in this activity.",System
500,Referred to Job: 150 Days or Greater,"T he act of referring an active job seeker, or a group of job seekers, to an employer with a  job opening that is 150 days or greater in length.",System
501,Referred to Job: 4-150 Days in Length,"T he act of referring an active job seeker, or a group of job seekers, to an employer with a  job opening that is 4-150 days in length.",System
502,Referred to Job: 3 Days or Less,"T he act of referring an active job seeker, or a group of job seekers, to an employer with a  job opening that is 3 days or less in length.",System
503,Negative Referral Result,T his code is system generated when the job seeker’s referral profile is updated to “Not  Hired.”,System
505,External Job Referral by Staff,"A JCC staff referred a participant, or a group of participants, to a job opening that is  available through an outside source (not listed on CalJOBS).",System
590,Notification to Jobseeker of Potential Job,T his code is system generated when staff notify job seeker of potential job.,System
F01,Referral to Community Resources,"A JCC staff referred a participant to a community resource. This follow-up service was  provided to the participant to enable him/her to progress further in education, training,  or to retain or obtain employment.",Follow-up
F02,Referral to Medical Services,"A JCC staff referred a participant to medical services. This follow-up service was provided  to the participant to enable him/her to progress further in education, training, or to  retain or obtain employment.",Follow-up
F03,Tracking Progress on the Job,"A JCC staff tracked a participant's progress on the job, and identified which, if any,  additional follow-up services the participant required to progress further in his/her  occupation or employment.",Follow-up
F04,Work-Related Peer Support Group,"A JCC staff referred a participant to a work-related peer support group after being placed  in unsubsidized employment, education, or training. This follow-up service was provided  to the individual to enable them to progress further in their education, training,  occupation or retain his/her employment.",Follow-up
F05,Assistance Securing Better Paying Job,A JCC staff provided a participant assistance in securing a job paying a higher wage.,Follow-up
F06,Career Development and Further Education Planning,"A JCC staff provided a participant additional career planning and counseling. This follow- up service was provided to the participant to enable him/her to progress further in  education, training, or to retain or obtain employment.",Follow-up
F07,Assistance with Work-Related Problems,"S taff assisted a participant with a work-related problem, which may have included  contacting the participant's employer. This follow-up service was provided to the  individual to enable him/her to progress further in his/her occupation, or retain  employment.",Follow-up
F08,Adult Mentoring,"A  Youth participant received adult mentoring after being placed in unsubsidized  employment, education, or training. This follow-up service was provided to the  participant to enable him/her to progress further in education, training, or to retain or  obtain employment.",Follow-up
F09,Tutoring,"A JCC staff provided or arranged for a Youth participant to receive tutoring. This follow-up  service was provided to the participant to enable him/her to progress further in  education, training, or to retain or obtain employment.",Follow-up
F10,Leadership Development,"A JCC staff provided and/or arranged for a Youth participant to receive Leadership  Development activities. This follow-up service was provided to the participant to enable  him/her to progress further in education, training, or to retain or obtain employment.",Follow-up
F12,Supportive Service: Transportation,AP JCC staff provided and/or arranged for a Youth participant to receive transportation  assistance that enabled him/her to be successful in employment and/or postsecondary  education and training.  Youth only  er TEGL 19-16 an Adult/DW customer who has exited and is only receiving follow-up  services is not eligible to receive supportive services during their follow-up.,Follow-up
F13,Supportive Service: Purchase Work-Related Uniform/Attire,P   A JCC staff provided and/or arranged for a Youth participant to receive an allowance to  purchase work-related uniforms or attire that enabled him/her to be successful in  employment and/or postsecondary education and training.  Youth only  er TEGL 19-16 an Adult/DW customer who has exited and is only receiving follow-up  services is not eligible to receive supportive services during their follow-up.,Follow-up
F14,Supportive Service: Purchase Work-Related Tools,P   A JCC staff provided and/or arranged a Youth participant to receive an allowance to  purchase work-related tools that enabled him/her to be successful in employment  and/or postsecondary education and training.  Youth only  er TEGL 19-16 an Adult/DW customer who has exited and is only receiving follow-up  services is not eligible to receive supportive services during their follow-up.,Follow-up
F15,Supportive Service: Housing Assistance,AP JCC staff provided and/or arranged for a Youth participant to receive housing assistance  that enabled him/her to be successful in employment and/or postsecondary education  and training.  Youth only  er TEGL 19-16 an Adult/DW customer who has exited and is only receiving follow-up  services is not eligible to receive supportive services during their follow-up.,Follow-up
F16,Supportive Service: Utilities,AP JCC staff provided and/or arranged for a participant to receive assistance with his/her  utilities that enabled him/her to be successful in employment and/or postsecondary  education and training.  Youth only  er TEGL 19-16 an Adult/DW customer who has exited and is only receiving follow-up  services is not eligible to receive supportive services during their follow-up.,Follow-up
F17,Supportive Service: Dependent Care,AP JCC staff provided and/or arranged for a participant to receive child care or dependent  care assistance that enabled him/her to be successful in employment and/or  postsecondary education and training.  Youth only  er TEGL 19-16 an Adult/DW customer who has exited and is only receiving follow-up  services is not eligible to receive supportive services during their follow-up.,Follow-up
F18,Supportive Service: Medical,P   A  Youth participant received assistance with medical services that enabled him/her to be  successful in employment and/or postsecondary education and training.  Youth only  er TEGL 19-16 an Adult/DW customer who has exited and is only receiving follow-up  services is not eligible to receive supportive services during their follow-up.,Follow-up
F19,Supportive Service: Incentives/Bonus,"P   A  participant received an incentive or bonus after being placed in training activities or  education. Per TEGL 21-16, allowable work experience expenditures include incentive  payments tied directly to the completion of work experience; and employability skills/job  readiness training to prepare youth for a work experience.  Youth only  er TEGL 19-16 an Adult/DW customer who has exited and is only receiving follow-up  services is not eligible to receive supportive services during their follow-up.",Follow-up
F21,Supportive Service: Educational Testing,"P   A  Youth participant received financial assistance in obtaining a High School equivalency  certificate, a license, or other type certificate that enabled him/her to be successful in  employment and/or postsecondary education and training.  Youth only  er TEGL 19-16 an Adult/DW customer who has exited and is only receiving follow-up  services is not eligible to receive supportive services during their follow-up.",Follow-up
F22,Supportive Service: Post-Secondary Educational Materials,"A   PYouth participant received assistance with books, fees, school supplies, and other  necessary supplies for students enrolled in post-secondary education classes that  enabled him/her to participate in activities authorized under Title IB.  Youth only  er TEGL 19-16 an Adult/DW customer who has exited and is only receiving follow-up  services is not eligible to receive supportive services during their follow-up.",Follow-up
E01,Alien Labor Certification,"U nder the H-2A program, local AJCC staff developed a hiring agreement with an  employer that took into account the local AJCC site's resources, but that did not  adversely affect the site's ability to adequately serve other employers. The hiring  agreement may not include provisions for AJCC staff to assist the employer in pre- employment activities such as verifying prior employment or obtaining references.",Employer
